TimeDomainData,recording,SampleRateInHz
16.294305811,0,250
8.6459581854,0,250
13.6340109847,0,250
7.5375020078,0,250
10.3086424519,0,250
5.0988984171,0,250
11.7496354828,0,250
5.4314352703,0,250
9.2001862743,0,250
1.1084561776,0,250
5.9856633592,0,250
1.884375502,0,250
8.6459581854,0,250
-0.1108456178,0,250
2.9928316796,0,250
-1.3301474131,0,250
3.3253685329,0,250
-3.9904422394,0,250
4.4338247105,0,250
0.5542280888,0,250
6.2073545947,0,250
-0.9976105599,0,250
4.655515946,0,250
-0.3325368533,0,250
1.6626842664,0,250
-9.311031892,0,250
-2.5494492085,0,250
-6.7615826835,0,250
-1.3301474131,0,250
-7.3158107723,0,250
-3.5470597684,0,250
-9.8652599808,0,250
-2.2169123552,0,250
-4.8772071815,0,250
2.1060667375,0,250
-5.2097440348,0,250
0.0,0,250
-6.2073545947,0,250
-2.8819860618,0,250
-9.4218775098,0,250
-5.3205896526,0,250
-9.7544143631,0,250
-3.1036772973,0,250
-8.4242669499,0,250
-1.5518386487,0,250
-7.4266563901,0,250
1.884375502,0,250
-4.5446703282,0,250
2.4386035908,0,250
-2.4386035908,0,250
1.9952211197,0,250
-1.3301474131,0,250
3.2145229151,0,250
-1.3301474131,0,250
9.311031892,0,250
0.8867649421,0,250
3.1036772973,0,250
-2.327757973,0,250
2.7711404441,0,250
-5.2097440348,0,250
2.9928316796,0,250
-1.7735298842,0,250
4.5446703282,0,250
-0.8867649421,0,250
4.9880527993,0,250
0.7759193243,0,250
4.1012878572,0,250
-4.655515946,0,250
-0.6650737066,0,250
-8.4242669499,0,250
-1.4409930309,0,250
-5.7639721236,0,250
0.2216912355,0,250
-7.4266563901,0,250
-1.5518386487,0,250
-3.9904422394,0,250
3.5470597684,0,250
-2.7711404441,0,250
1.3301474131,0,250
-4.212133475,0,250
0.7759193243,0,250
-7.4266563901,0,250
-1.2193017954,0,250
-5.9856633592,0,250
-1.3301474131,0,250
-7.8700388611,0,250
-0.2216912355,0,250
-7.7591932433,0,250
-2.5494492085,0,250
-5.5422808881,0,250
1.2193017954,0,250
-4.9880527993,0,250
-1.1084561776,0,250
-6.539891448,0,250
0.8867649421,0,250
-6.0965089769,0,250
-0.5542280888,0,250
-5.7639721236,0,250
-0.2216912355,0,250
-6.3182002124,0,250
-1.2193017954,0,250
-6.539891448,0,250
-2.1060667375,0,250
-7.4266563901,0,250
1.4409930309,0,250
-3.9904422394,0,250
2.7711404441,0,250
-4.212133475,0,250
0.8867649421,0,250
-4.1012878572,0,250
4.212133475,0,250
-1.884375502,0,250
3.3253685329,0,250
-2.7711404441,0,250
1.884375502,0,250
-4.4338247105,0,250
0.3325368533,0,250
-5.5422808881,0,250
-0.7759193243,0,250
-6.3182002124,0,250
1.6626842664,0,250
-3.1036772973,0,250
2.1060667375,0,250
-4.5446703282,0,250
-0.2216912355,0,250
-6.2073545947,0,250
-0.1108456178,0,250
-5.7639721236,0,250
1.4409930309,0,250
-3.3253685329,0,250
1.884375502,0,250
-1.9952211197,0,250
3.9904422394,0,250
-3.9904422394,0,250
-0.3325368533,0,250
-7.3158107723,0,250
0.443382471,0,250
-6.983273919,0,250
-2.4386035908,0,250
-5.7639721236,0,250
1.4409930309,0,250
-3.1036772973,0,250
2.327757973,0,250
-3.2145229151,0,250
-0.1108456178,0,250
-7.5375020078,0,250
-0.1108456178,0,250
-5.3205896526,0,250
2.5494492085,0,250
-3.9904422394,0,250
-1.884375502,0,250
-7.3158107723,0,250
-2.7711404441,0,250
-8.2025757144,0,250
-0.8867649421,0,250
-7.3158107723,0,250
-1.2193017954,0,250
-9.4218775098,0,250
-6.3182002124,0,250
-12.4147091894,0,250
-3.9904422394,0,250
-8.4242669499,0,250
-5.3205896526,0,250
-11.0845617762,0,250
-10.3086424519,0,250
-22.0582779347,0,250
-14.5207759268,0,250
-21.1715129926,0,250
-13.966547838,0,250
-17.5136076064,0,250
-9.8652599808,0,250
-8.6459581854,0,250
-0.6650737066,0,250
-4.4338247105,0,250
3.6579053861,0,250
-2.6602948263,0,250
4.5446703282,0,250
-1.2193017954,0,250
4.1012878572,0,250
-0.3325368533,0,250
8.6459581854,0,250
2.4386035908,0,250
8.867649421,0,250
4.8772071815,0,250
9.6435687453,0,250
4.212133475,0,250
9.2001862743,0,250
5.6531265059,0,250
11.5279442473,0,250
7.2049651545,0,250
13.523165367,0,250
4.212133475,0,250
11.638789865,0,250
6.2073545947,0,250
9.8652599808,0,250
4.212133475,0,250
10.9737161584,0,250
4.1012878572,0,250
7.2049651545,0,250
2.327757973,0,250
10.1977968341,0,250
7.0941195368,0,250
15.2966952512,0,250
11.638789865,0,250
16.9593795176,0,250
8.2025757144,0,250
11.195407394,0,250
5.9856633592,0,250
12.8580916604,0,250
5.8748177414,0,250
12.9689372782,0,250
5.6531265059,0,250
9.7544143631,0,250
4.655515946,0,250
10.1977968341,0,250
2.8819860618,0,250
6.0965089769,0,250
1.1084561776,0,250
8.9784950387,0,250
2.5494492085,0,250
8.4242669499,0,250
2.1060667375,0,250
9.5327231275,0,250
4.212133475,0,250
6.4290458302,0,250
3.1036772973,0,250
11.7496354828,0,250
6.8724283012,0,250
14.5207759268,0,250
8.6459581854,0,250
13.523165367,0,250
6.2073545947,0,250
10.0869512163,0,250
5.7639721236,0,250
12.3038635716,0,250
5.5422808881,0,250
11.7496354828,0,250
2.7711404441,0,250
5.8748177414,0,250
1.4409930309,0,250
6.0965089769,0,250
-1.2193017954,0,250
6.539891448,0,250
-2.4386035908,0,250
1.7735298842,0,250
-0.7759193243,0,250
2.8819860618,0,250
-3.9904422394,0,250
3.1036772973,0,250
-1.5518386487,0,250
4.1012878572,0,250
-3.3253685329,0,250
1.3301474131,0,250
-6.0965089769,0,250
0.9976105599,0,250
-6.983273919,0,250
-3.6579053861,0,250
-7.5375020078,0,250
-0.6650737066,0,250
-8.2025757144,0,250
-2.7711404441,0,250
-7.9808844789,0,250
-3.3253685329,0,250
-7.0941195368,0,250
0.443382471,0,250
-5.9856633592,0,250
1.9952211197,0,250
-5.7639721236,0,250
-1.1084561776,0,250
-6.6507370657,0,250
-0.9976105599,0,250
-4.4338247105,0,250
0.6650737066,0,250
-7.4266563901,0,250
-1.884375502,0,250
-7.9808844789,0,250
-2.2169123552,0,250
-4.3229790927,0,250
3.4362141506,0,250
-2.9928316796,0,250
1.5518386487,0,250
-3.1036772973,0,250
3.7687510039,0,250
-4.1012878572,0,250
3.5470597684,0,250
-0.9976105599,0,250
1.9952211197,0,250
-4.212133475,0,250
1.5518386487,0,250
-5.0988984171,0,250
0.7759193243,0,250
-4.8772071815,0,250
-0.2216912355,0,250
-6.2073545947,0,250
0.7759193243,0,250
-7.0941195368,0,250
-2.6602948263,0,250
-6.8724283012,0,250
0.8867649421,0,250
-4.5446703282,0,250
2.1060667375,0,250
-3.3253685329,0,250
2.1060667375,0,250
-3.9904422394,0,250
-0.3325368533,0,250
-6.539891448,0,250
-0.443382471,0,250
-4.1012878572,0,250
1.5518386487,0,250
-3.9904422394,0,250
2.7711404441,0,250
-3.6579053861,0,250
3.2145229151,0,250
-2.4386035908,0,250
3.6579053861,0,250
-0.5542280888,0,250
4.5446703282,0,250
-2.4386035908,0,250
2.327757973,0,250
-2.2169123552,0,250
3.9904422394,0,250
-2.8819860618,0,250
2.6602948263,0,250
-4.4338247105,0,250
1.3301474131,0,250
-3.8795966217,0,250
0.8867649421,0,250
-3.1036772973,0,250
2.7711404441,0,250
-4.1012878572,0,250
2.4386035908,0,250
-2.1060667375,0,250
2.4386035908,0,250
-4.655515946,0,250
3.1036772973,0,250
-2.6602948263,0,250
2.1060667375,0,250
-2.1060667375,0,250
3.2145229151,0,250
-1.4409930309,0,250
5.7639721236,0,250
0.0,0,250
5.7639721236,0,250
0.443382471,0,250
5.5422808881,0,250
-1.4409930309,0,250
3.1036772973,0,250
-2.2169123552,0,250
5.7639721236,0,250
0.1108456178,0,250
6.8724283012,0,250
1.7735298842,0,250
5.7639721236,0,250
0.2216912355,0,250
6.8724283012,0,250
0.2216912355,0,250
4.1012878572,0,250
-1.2193017954,0,250
3.5470597684,0,250
-2.2169123552,0,250
2.7711404441,0,250
-6.3182002124,0,250
2.1060667375,0,250
-2.9928316796,0,250
2.6602948263,0,250
-3.6579053861,0,250
0.0,0,250
-4.5446703282,0,250
0.0,0,250
-6.3182002124,0,250
0.8867649421,0,250
-2.8819860618,0,250
1.9952211197,0,250
-2.327757973,0,250
5.6531265059,0,250
0.6650737066,0,250
4.3229790927,0,250
-3.1036772973,0,250
4.7663615638,0,250
3.4362141506,0,250
7.5375020078,0,250
0.1108456178,0,250
8.2025757144,0,250
3.7687510039,0,250
7.9808844789,0,250
-3.7687510039,0,250
-3.5470597684,0,250
-14.6316215446,0,250
-13.6340109847,0,250
-19.1762918728,0,250
-10.0869512163,0,250
-14.9641583979,0,250
-8.3134213322,0,250
-10.9737161584,0,250
-5.4314352703,0,250
-9.8652599808,0,250
-0.443382471,0,250
-6.0965089769,0,250
3.5470597684,0,250
-1.5518386487,0,250
4.1012878572,0,250
0.5542280888,0,250
3.4362141506,0,250
-2.5494492085,0,250
4.4338247105,0,250
-0.3325368533,0,250
8.2025757144,0,250
1.4409930309,0,250
7.0941195368,0,250
2.2169123552,0,250
7.0941195368,0,250
3.1036772973,0,250
9.0893406565,0,250
1.6626842664,0,250
7.3158107723,0,250
3.2145229151,0,250
10.1977968341,0,250
1.6626842664,0,250
4.3229790927,0,250
1.1084561776,0,250
8.3134213322,0,250
-0.2216912355,0,250
6.2073545947,0,250
0.8867649421,0,250
9.4218775098,0,250
6.2073545947,0,250
9.6435687453,0,250
5.7639721236,0,250
12.8580916604,0,250
6.3182002124,0,250
11.195407394,0,250
4.7663615638,0,250
11.638789865,0,250
4.7663615638,0,250
12.3038635716,0,250
8.4242669499,0,250
15.7400777222,0,250
10.9737161584,0,250
16.294305811,0,250
10.7520249229,0,250
15.85092334,0,250
9.9761055986,0,250
16.1834601933,0,250
10.4194880696,0,250
13.6340109847,0,250
8.6459581854,0,250
15.0750040156,0,250
5.6531265059,0,250
10.6411793052,0,250
3.3253685329,0,250
9.311031892,0,250
5.8748177414,0,250
11.8604811005,0,250
6.983273919,0,250
10.1977968341,0,250
3.1036772973,0,250
8.867649421,0,250
2.8819860618,0,250
8.5351125677,0,250
3.9904422394,0,250
7.3158107723,0,250
-1.3301474131,0,250
7.3158107723,0,250
1.884375502,0,250
6.3182002124,0,250
-1.3301474131,0,250
2.6602948263,0,250
-4.9880527993,0,250
-0.2216912355,0,250
-5.8748177414,0,250
-3.3253685329,0,250
-9.4218775098,0,250
-2.327757973,0,250
-7.0941195368,0,250
0.2216912355,0,250
-6.539891448,0,250
0.2216912355,0,250
-6.3182002124,0,250
-2.4386035908,0,250
-9.5327231275,0,250
-4.655515946,0,250
-8.5351125677,0,250
-3.8795966217,0,250
-11.5279442473,0,250
-4.1012878572,0,250
-11.4170986295,0,250
-6.4290458302,0,250
-13.0797828959,0,250
-7.8700388611,0,250
-13.6340109847,0,250
-9.2001862743,0,250
-13.0797828959,0,250
-7.0941195368,0,250
-13.3014741314,0,250
-5.6531265059,0,250
-11.3062530117,0,250
-5.6531265059,0,250
-8.2025757144,0,250
-2.8819860618,0,250
-8.0917300966,0,250
-1.7735298842,0,250
-8.2025757144,0,250
-0.443382471,0,250
-5.4314352703,0,250
1.2193017954,0,250
-4.655515946,0,250
-0.443382471,0,250
-9.5327231275,0,250
-3.6579053861,0,250
-6.539891448,0,250
-0.5542280888,0,250
-6.2073545947,0,250
-0.443382471,0,250
-4.8772071815,0,250
3.4362141506,0,250
-4.5446703282,0,250
-0.3325368533,0,250
-7.5375020078,0,250
-3.3253685329,0,250
-5.9856633592,0,250
0.9976105599,0,250
-7.0941195368,0,250
2.2169123552,0,250
-1.2193017954,0,250
3.1036772973,0,250
-4.4338247105,0,250
-0.3325368533,0,250
-4.4338247105,0,250
2.8819860618,0,250
-1.5518386487,0,250
4.9880527993,0,250
-1.884375502,0,250
1.7735298842,0,250
-7.4266563901,0,250
-1.5518386487,0,250
-6.7615826835,0,250
-0.6650737066,0,250
-7.0941195368,0,250
-4.3229790927,0,250
-10.1977968341,0,250
-2.9928316796,0,250
-9.7544143631,0,250
-2.4386035908,0,250
-7.6483476256,0,250
-0.8867649421,0,250
-5.3205896526,0,250
0.9976105599,0,250
-5.0988984171,0,250
0.443382471,0,250
-5.2097440348,0,250
2.1060667375,0,250
-3.3253685329,0,250
2.5494492085,0,250
-3.3253685329,0,250
4.212133475,0,250
-2.5494492085,0,250
0.443382471,0,250
-3.1036772973,0,250
2.327757973,0,250
-4.4338247105,0,250
1.5518386487,0,250
-3.3253685329,0,250
1.884375502,0,250
-4.212133475,0,250
4.655515946,0,250
0.0,0,250
4.9880527993,0,250
1.7735298842,0,250
8.867649421,0,250
3.2145229151,0,250
9.6435687453,0,250
2.327757973,0,250
7.9808844789,0,250
0.443382471,0,250
3.9904422394,0,250
-1.7735298842,0,250
4.9880527993,0,250
0.9976105599,0,250
7.4266563901,0,250
-0.2216912355,0,250
6.983273919,0,250
2.9928316796,0,250
8.9784950387,0,250
1.6626842664,0,250
8.0917300966,0,250
2.327757973,0,250
5.0988984171,0,250
-0.6650737066,0,250
8.3134213322,0,250
0.8867649421,0,250
4.4338247105,0,250
-1.3301474131,0,250
7.0941195368,0,250
0.9976105599,0,250
5.0988984171,0,250
-0.7759193243,0,250
3.6579053861,0,250
-1.7735298842,0,250
4.4338247105,0,250
-1.7735298842,0,250
2.8819860618,0,250
-4.8772071815,0,250
2.7711404441,0,250
-3.5470597684,0,250
0.1108456178,0,250
-4.8772071815,0,250
2.8819860618,0,250
1.2193017954,0,250
8.4242669499,0,250
-0.6650737066,0,250
0.6650737066,0,250
-5.7639721236,0,250
0.5542280888,0,250
-3.8795966217,0,250
3.6579053861,0,250
-2.327757973,0,250
7.0941195368,0,250
2.327757973,0,250
5.5422808881,0,250
2.2169123552,0,250
10.5303336874,0,250
-1.6626842664,0,250
-1.7735298842,0,250
-10.8628705407,0,250
-8.3134213322,0,250
-12.9689372782,0,250
-6.7615826835,0,250
-13.1906285137,0,250
-6.4290458302,0,250
-12.9689372782,0,250
-7.5375020078,0,250
-8.6459581854,0,250
-0.5542280888,0,250
-5.5422808881,0,250
3.6579053861,0,250
-1.1084561776,0,250
4.1012878572,0,250
-0.3325368533,0,250
6.539891448,0,250
1.1084561776,0,250
4.212133475,0,250
-0.6650737066,0,250
5.7639721236,0,250
-2.4386035908,0,250
3.3253685329,0,250
-0.8867649421,0,250
5.8748177414,0,250
1.7735298842,0,250
7.8700388611,0,250
3.4362141506,0,250
9.7544143631,0,250
4.655515946,0,250
14.5207759268,0,250
10.7520249229,0,250
17.4027619886,0,250
10.5303336874,0,250
16.8485338998,0,250
12.0821723361,0,250
16.0726145755,0,250
10.4194880696,0,250
19.3979831084,0,250
12.7472460426,0,250
17.4027619886,0,250
12.0821723361,0,250
12.3038635716,0,250
6.3182002124,0,250
13.1906285137,0,250
5.0988984171,0,250
13.4123197492,0,250
7.0941195368,0,250
11.4170986295,0,250
7.9808844789,0,250
14.2990846913,0,250
5.9856633592,0,250
11.5279442473,0,250
6.539891448,0,250
12.8580916604,0,250
6.2073545947,0,250
11.195407394,0,250
6.539891448,0,250
12.9689372782,0,250
7.9808844789,0,250
11.8604811005,0,250
6.7615826835,0,250
13.6340109847,0,250
4.655515946,0,250
12.8580916604,0,250
8.3134213322,0,250
11.8604811005,0,250
5.4314352703,0,250
12.9689372782,0,250
6.0965089769,0,250
11.5279442473,0,250
3.4362141506,0,250
6.2073545947,0,250
0.6650737066,0,250
7.8700388611,0,250
3.9904422394,0,250
11.638789865,0,250
6.3182002124,0,250
9.9761055986,0,250
3.3253685329,0,250
8.4242669499,0,250
1.2193017954,0,250
4.9880527993,0,250
-0.3325368533,0,250
4.655515946,0,250
-4.3229790927,0,250
-0.443382471,0,250
-4.9880527993,0,250
1.4409930309,0,250
-7.5375020078,0,250
-4.4338247105,0,250
-10.9737161584,0,250
-4.1012878572,0,250
-6.7615826835,0,250
-1.2193017954,0,250
-6.6507370657,0,250
0.1108456178,0,250
-7.5375020078,0,250
-3.1036772973,0,250
-6.4290458302,0,250
-0.2216912355,0,250
-6.983273919,0,250
-1.7735298842,0,250
-8.6459581854,0,250
-3.9904422394,0,250
-8.867649421,0,250
-0.3325368533,0,250
-4.5446703282,0,250
2.6602948263,0,250
-3.1036772973,0,250
1.6626842664,0,250
-0.9976105599,0,250
4.212133475,0,250
-2.9928316796,0,250
3.2145229151,0,250
-4.9880527993,0,250
0.5542280888,0,250
-3.2145229151,0,250
3.4362141506,0,250
-2.9928316796,0,250
3.5470597684,0,250
-0.8867649421,0,250
5.8748177414,0,250
-2.4386035908,0,250
-1.2193017954,0,250
-2.8819860618,0,250
3.5470597684,0,250
-4.4338247105,0,250
0.0,0,250
-7.5375020078,0,250
0.0,0,250
-3.7687510039,0,250
-0.2216912355,0,250
-9.7544143631,0,250
-1.7735298842,0,250
-5.3205896526,0,250
-2.5494492085,0,250
-9.8652599808,0,250
-4.5446703282,0,250
-8.3134213322,0,250
-2.327757973,0,250
-6.3182002124,0,250
-1.7735298842,0,250
-7.6483476256,0,250
-1.7735298842,0,250
-8.4242669499,0,250
0.2216912355,0,250
-6.6507370657,0,250
-0.9976105599,0,250
-5.7639721236,0,250
0.1108456178,0,250
-3.2145229151,0,250
1.3301474131,0,250
-2.9928316796,0,250
1.7735298842,0,250
-4.3229790927,0,250
0.8867649421,0,250
-6.8724283012,0,250
0.7759193243,0,250
-6.6507370657,0,250
0.443382471,0,250
-3.9904422394,0,250
0.0,0,250
-4.212133475,0,250
1.4409930309,0,250
-3.9904422394,0,250
3.8795966217,0,250
-2.327757973,0,250
0.9976105599,0,250
-4.7663615638,0,250
0.0,0,250
-5.7639721236,0,250
-0.1108456178,0,250
-7.5375020078,0,250
-4.5446703282,0,250
-9.9761055986,0,250
-3.4362141506,0,250
-9.0893406565,0,250
-0.7759193243,0,250
-6.539891448,0,250
-1.4409930309,0,250
-7.2049651545,0,250
-2.327757973,0,250
-8.2025757144,0,250
-3.2145229151,0,250
-7.4266563901,0,250
-1.1084561776,0,250
-8.0917300966,0,250
-2.327757973,0,250
-8.3134213322,0,250
-1.3301474131,0,250
-8.7568038032,0,250
-3.9904422394,0,250
-9.9761055986,0,250
-4.9880527993,0,250
-8.867649421,0,250
-3.5470597684,0,250
-9.311031892,0,250
-2.6602948263,0,250
-11.7496354828,0,250
-4.8772071815,0,250
-8.5351125677,0,250
-3.4362141506,0,250
-5.5422808881,0,250
1.884375502,0,250
-6.0965089769,0,250
1.3301474131,0,250
-3.5470597684,0,250
0.3325368533,0,250
-4.4338247105,0,250
0.443382471,0,250
-4.655515946,0,250
1.3301474131,0,250
-4.1012878572,0,250
1.3301474131,0,250
-4.7663615638,0,250
0.9976105599,0,250
-4.1012878572,0,250
2.2169123552,0,250
-3.2145229151,0,250
3.3253685329,0,250
-4.1012878572,0,250
4.1012878572,0,250
1.3301474131,0,250
2.6602948263,0,250
-5.7639721236,0,250
3.4362141506,0,250
-2.4386035908,0,250
3.8795966217,0,250
-0.8867649421,0,250
4.4338247105,0,250
0.2216912355,0,250
5.3205896526,0,250
-2.1060667375,0,250
2.5494492085,0,250
-0.9976105599,0,250
3.7687510039,0,250
-3.3253685329,0,250
1.4409930309,0,250
-6.7615826835,0,250
1.7735298842,0,250
-1.5518386487,0,250
2.8819860618,0,250
-4.7663615638,0,250
1.6626842664,0,250
-2.6602948263,0,250
1.6626842664,0,250
-3.4362141506,0,250
2.7711404441,0,250
-4.3229790927,0,250
0.7759193243,0,250
-4.655515946,0,250
0.9976105599,0,250
-2.4386035908,0,250
2.8819860618,0,250
-4.4338247105,0,250
5.8748177414,0,250
1.5518386487,0,250
5.7639721236,0,250
-0.5542280888,0,250
3.9904422394,0,250
-1.5518386487,0,250
2.8819860618,0,250
0.8867649421,0,250
8.9784950387,0,250
2.6602948263,0,250
6.3182002124,0,250
-2.4386035908,0,250
5.3205896526,0,250
2.6602948263,0,250
3.5470597684,0,250
-6.2073545947,0,250
-2.9928316796,0,250
-11.195407394,0,250
-8.9784950387,0,250
-19.2871374906,0,250
-15.1858496334,0,250
-21.5040498458,0,250
-12.6364004249,0,250
-15.7400777222,0,250
-7.8700388611,0,250
-9.8652599808,0,250
-2.8819860618,0,250
-4.5446703282,0,250
3.6579053861,0,250
-0.443382471,0,250
8.2025757144,0,250
3.3253685329,0,250
7.7591932433,0,250
1.7735298842,0,250
7.3158107723,0,250
0.5542280888,0,250
6.539891448,0,250
1.4409930309,0,250
5.8748177414,0,250
0.1108456178,0,250
7.8700388611,0,250
2.8819860618,0,250
8.6459581854,0,250
0.7759193243,0,250
6.983273919,0,250
3.3253685329,0,250
10.4194880696,0,250
6.8724283012,0,250
10.9737161584,0,250
8.2025757144,0,250
14.5207759268,0,250
7.8700388611,0,250
13.8557022203,0,250
5.2097440348,0,250
11.9713267183,0,250
6.983273919,0,250
10.8628705407,0,250
7.4266563901,0,250
13.0797828959,0,250
6.539891448,0,250
14.0773934558,0,250
6.7615826835,0,250
13.7448566025,0,250
9.6435687453,0,250
15.85092334,0,250
9.311031892,0,250
14.0773934558,0,250
8.7568038032,0,250
13.8557022203,0,250
7.7591932433,0,250
14.6316215446,0,250
10.8628705407,0,250
16.6268426643,0,250
8.7568038032,0,250
16.0726145755,0,250
10.5303336874,0,250
15.9617689577,0,250
11.4170986295,0,250
17.2919163709,0,250
11.0845617762,0,250
16.1834601933,0,250
10.0869512163,0,250
12.8580916604,0,250
6.8724283012,0,250
10.9737161584,0,250
2.7711404441,0,250
9.9761055986,0,250
4.1012878572,0,250
9.8652599808,0,250
2.9928316796,0,250
6.3182002124,0,250
0.2216912355,0,250
5.2097440348,0,250
-1.884375502,0,250
2.6602948263,0,250
-2.6602948263,0,250
1.9952211197,0,250
-5.0988984171,0,250
0.6650737066,0,250
-4.7663615638,0,250
1.2193017954,0,250
-7.0941195368,0,250
-0.3325368533,0,250
-6.7615826835,0,250
-3.8795966217,0,250
-5.3205896526,0,250
1.6626842664,0,250
-4.9880527993,0,250
-2.1060667375,0,250
-6.7615826835,0,250
-2.2169123552,0,250
-12.1930179538,0,250
-4.1012878572,0,250
-7.4266563901,0,250
-3.8795966217,0,250
-8.2025757144,0,250
-1.5518386487,0,250
-8.3134213322,0,250
-3.2145229151,0,250
-9.9761055986,0,250
-4.4338247105,0,250
-10.6411793052,0,250
-6.2073545947,0,250
-9.0893406565,0,250
-4.4338247105,0,250
-8.0917300966,0,250
-1.7735298842,0,250
-8.0917300966,0,250
0.1108456178,0,250
-7.6483476256,0,250
-2.5494492085,0,250
-10.5303336874,0,250
-5.9856633592,0,250
-8.5351125677,0,250
-1.9952211197,0,250
-6.4290458302,0,250
0.9976105599,0,250
-5.3205896526,0,250
0.0,0,250
-3.5470597684,0,250
0.443382471,0,250
-4.3229790927,0,250
0.8867649421,0,250
-6.3182002124,0,250
1.4409930309,0,250
-2.6602948263,0,250
0.9976105599,0,250
-6.3182002124,0,250
-0.3325368533,0,250
-7.2049651545,0,250
-0.5542280888,0,250
-4.5446703282,0,250
0.1108456178,0,250
-7.8700388611,0,250
-4.9880527993,0,250
-8.6459581854,0,250
-1.1084561776,0,250
-3.2145229151,0,250
5.6531265059,0,250
-0.443382471,0,250
2.7711404441,0,250
-5.2097440348,0,250
1.3301474131,0,250
-5.6531265059,0,250
-0.8867649421,0,250
-4.4338247105,0,250
1.6626842664,0,250
-5.0988984171,0,250
-1.1084561776,0,250
-5.7639721236,0,250
1.3301474131,0,250
-4.655515946,0,250
0.7759193243,0,250
-4.4338247105,0,250
-1.4409930309,0,250
-7.6483476256,0,250
0.0,0,250
-3.8795966217,0,250
0.8867649421,0,250
-5.0988984171,0,250
0.0,0,250
-4.212133475,0,250
0.8867649421,0,250
-4.8772071815,0,250
-0.5542280888,0,250
-10.7520249229,0,250
-3.5470597684,0,250
-6.8724283012,0,250
-1.7735298842,0,250
-6.8724283012,0,250
-1.5518386487,0,250
-5.8748177414,0,250
-0.1108456178,0,250
-4.655515946,0,250
0.7759193243,0,250
-6.8724283012,0,250
-0.3325368533,0,250
-7.2049651545,0,250
-0.3325368533,0,250
-5.8748177414,0,250
0.8867649421,0,250
-6.4290458302,0,250
-0.5542280888,0,250
-5.6531265059,0,250
0.8867649421,0,250
-3.3253685329,0,250
1.5518386487,0,250
-3.5470597684,0,250
2.4386035908,0,250
-2.327757973,0,250
3.1036772973,0,250
-3.2145229151,0,250
3.7687510039,0,250
-0.443382471,0,250
4.4338247105,0,250
-0.7759193243,0,250
3.3253685329,0,250
-1.6626842664,0,250
2.5494492085,0,250
-3.9904422394,0,250
3.6579053861,0,250
-2.7711404441,0,250
2.8819860618,0,250
-2.1060667375,0,250
2.327757973,0,250
-0.5542280888,0,250
5.8748177414,0,250
1.3301474131,0,250
6.539891448,0,250
-1.7735298842,0,250
5.4314352703,0,250
-2.8819860618,0,250
2.1060667375,0,250
0.6650737066,0,250
6.3182002124,0,250
-0.9976105599,0,250
4.8772071815,0,250
-1.5518386487,0,250
1.5518386487,0,250
-5.8748177414,0,250
0.1108456178,0,250
-4.212133475,0,250
4.212133475,0,250
-1.3301474131,0,250
6.2073545947,0,250
0.443382471,0,250
3.7687510039,0,250
-1.2193017954,0,250
3.5470597684,0,250
-2.5494492085,0,250
1.4409930309,0,250
-2.9928316796,0,250
4.4338247105,0,250
-3.3253685329,0,250
0.3325368533,0,250
-2.5494492085,0,250
3.8795966217,0,250
-3.1036772973,0,250
-0.443382471,0,250
-5.6531265059,0,250
2.4386035908,0,250
-5.9856633592,0,250
-0.443382471,0,250
-4.8772071815,0,250
1.5518386487,0,250
-5.3205896526,0,250
-2.9928316796,0,250
-9.2001862743,0,250
-2.7711404441,0,250
-8.3134213322,0,250
-1.9952211197,0,250
-9.5327231275,0,250
-6.6507370657,0,250
-10.7520249229,0,250
-3.1036772973,0,250
-8.9784950387,0,250
-4.5446703282,0,250
-13.7448566025,0,250
-11.5279442473,0,250
-21.9474323169,0,250
-19.1762918728,0,250
-23.8318078188,0,250
-18.5112181663,0,250
-24.7185727609,0,250
-17.6244532242,0,250
-18.622063784,0,250
-10.3086424519,0,250
-16.294305811,0,250
-7.0941195368,0,250
-9.311031892,0,250
-0.5542280888,0,250
-5.7639721236,0,250
0.1108456178,0,250
-3.8795966217,0,250
-0.5542280888,0,250
-7.4266563901,0,250
-3.2145229151,0,250
-9.9761055986,0,250
-1.6626842664,0,250
-5.0988984171,0,250
1.7735298842,0,250
-2.5494492085,0,250
5.7639721236,0,250
-0.2216912355,0,250
6.3182002124,0,250
1.884375502,0,250
7.0941195368,0,250
1.7735298842,0,250
8.9784950387,0,250
5.6531265059,0,250
9.8652599808,0,250
3.7687510039,0,250
9.9761055986,0,250
2.5494492085,0,250
7.9808844789,0,250
1.2193017954,0,250
7.6483476256,0,250
1.5518386487,0,250
7.8700388611,0,250
3.2145229151,0,250
7.9808844789,0,250
3.6579053861,0,250
9.0893406565,0,250
2.4386035908,0,250
6.983273919,0,250
2.8819860618,0,250
14.7424671624,0,250
10.0869512163,0,250
13.1906285137,0,250
6.539891448,0,250
14.1882390735,0,250
9.0893406565,0,250
14.4099303091,0,250
6.3182002124,0,250
11.195407394,0,250
7.8700388611,0,250
15.9617689577,0,250
10.3086424519,0,250
14.4099303091,0,250
10.1977968341,0,250
18.178681313,0,250
10.1977968341,0,250
13.4123197492,0,250
7.7591932433,0,250
15.7400777222,0,250
10.8628705407,0,250
13.6340109847,0,250
7.5375020078,0,250
15.2966952512,0,250
9.0893406565,0,250
13.1906285137,0,250
5.5422808881,0,250
